state,sex,emplnw,emptype1,emptype2,emptype3,stud,job5a,job5b,job5c,job5d,auto1a,auto1b,auto1c,auto1d,auto1e,auto2,auto3,age,marital,par,educ2,edinst,disa,ideo,race,inc,zipcode
51,2,4, , , ,3, , , , , , , , , , ,2,47,1,1,6, ,2,1,1,99,20112
24,2,3, , , ,3, , , , , , , , , , ,1,63,1,2,4, ,2,3,2,6,21239
39,2,3, , , ,3, , , , , , , , , , ,2,86,5,2,1, ,2,1,1,3,44730
37,2,1,1,1, ,3,1,1,1,1,2,4,4,3,4,2,2,40,1,2,5, ,2,2,1,6,27028
21,2,3, , , ,3, , , , , , , , , , ,2,65,9,2,4, ,2,1,1,3,40511
20,2,2,5,2,4,3,1,1,1,1,4,4,4,4,4,2,2,69,1,2,6, ,2,3,1,8,67601
42,1,3, , , ,3, , , , , , , , , , ,3,72,1,2,6, ,2,1,1,99,15748
26,1,3, , , ,3, , , , , , , , , , ,1,70,1,2,4, ,2,2,1,7,49690
40,1,3, , , ,3, , , , , , , , , , ,2,77,5,2,6, ,1,5,1,6,73655
23,1,3, , , ,3, , , , , , , , , , ,1,73,1,2,3, ,2,4,1,3,4412
20,2,3, , , ,3, , , , , , , , , , ,2,81,5,2,6, ,2,3,1,99,67642
40,2,3, , , ,3, , , , , , , , , , ,1,77,1,1,3, ,2,3,1,99,73086
27,1,1,2,2,1,3,1,1,1,2,4,4,4,4,4,1,2,52,1,2,4, ,2,2,1,8,55395
12,2,3, , , ,3, , , , , , , , , , ,2,74,1,2,5, ,1,2,1,6,32771
45,2,1,8,2,8,3,1,1,1,1,3,4,4,4,4,1,2,43,1,1,6, ,2,3,1,98,29560
1,2,1,1,2,4,3,2,1,2,1,3,3,3,3,3,2,2,44,1,2,4, ,2,2,1,7,36854
21,1,3, , , ,3, , , , , , , , , , ,4,68,1,2,8, ,1,2,1,4,42211
5,1,3, , , ,3, , , , , , , , , , ,2,87,1,1,5, ,2,4,2,4,71852
36,2,3, , , ,3, , , , , , , , , , ,1,68,3,2,8, ,2,4,1,99,10075
1,1,1,2,2,2,3,2,2,1,1,4,4,4,4,4,3,2,58,1,2,6, ,2,3,1,7,36532
30,2,1,2,2,5,3,1,1,1,1,4,4,4,4,4,1,3,31,6,1,3, ,2,3,5,2,59043
20,1,3, , , ,3, , , , , , , , , , ,4,85,1,2,3, ,1,3,1,6,66051
48,2,3, , , ,3, , , , , , , , , , ,2,93,5,2,1, ,2,4,1,1,78954
45,1,1,3,1, ,3,2,1,1,1,2,4,3,4,4,2,2,57,1,2,3, ,2,1,1,6,29706
9,1,3, , , ,3, , , , , , , , , , ,2,70,1,2,8, ,2,4,1,9,6511
51,2,4, , , ,3, , , , , , , , , , ,2,36,1,1,8, ,2,8,2,7,23452
49,2,4, , , ,3, , , , , , , , , , ,3,39,1,1,6, ,2,2,1,6,84005
27,2,3, , , ,3, , , , , , , , , , ,2,85,5,2,3, ,2,3,1,1,55014
12,2,3, , , ,3, , , , , , , , , , ,2,76,5,2,7, ,2,5,1,6,32934
27,2,1,4,2,1,3,1,1,1,2,4,4,4,4,4,1,3,63,1,2,8, ,2,3,1,6,55941
53,2,3, , , ,3, , , , , , , , , , ,1,66,1,2,8, ,2,2,2,5,99026
41,2,3, , , ,3, , , , , , , , , , ,2,57,6,2,6, ,2,9,1,7,97756
6,1,2,2,1, ,2,1,1,1,2,4,4,4,2,4,4,2,19,6,2,3,2,2,3,1,2,91306
41,1,2,2,1, ,3,2,2,2,1,4,4,4,4,4,2,2,28,6,2,3, ,2,2,1,3,97470
39,2,4, , , ,3, , , , , , , , , , ,3,49,1,1,6, ,2,3,1,8,44236
55,2,1,3,2,4,3,2,1,1,1,3,4,4,3,3,2,2,45,6,1,5, ,2,8,1,4,54768
6,2,3, , , ,3, , , , , , , , , , ,2,75,5,2,2, ,1,3,1,1,93308
41,1,3, , , ,3, , , , , , , , , , ,2,60,2,2,2, ,1,4,1,2,97138
24,2,3, , , ,3, , , , , , , , , , ,1,52,6,2,5, ,2,4,2,4,21217
37,1,6, , , ,3, , , , , , , , , , ,2,58,1,2,3, ,1,1,1,3,27028
29,2,3, , , ,3, , , , , , , , , , ,2,67,1,2,3, ,2,2,1,4,63785
6,2,3, , , ,3, , , , , , , , , , ,2,80,5,2,5, ,2,2,1,3,96080
9,2,2,3,1, ,3,2,1,1,1,4,4,4,4,4,2,2,73,1,2,4, ,1,2,1,5,6516
6,2,2,1,1, ,2,1,2,2,1,4,4,4,4,4,1,2,19,6,2,4,2,2,4,1,4,90404
12,1,5,8,1, ,3,1,1,1,1,4,4,4,4,4,2,3,70,1,2,3, ,2,1,1,5,32060
45,1,1,3,1, ,1,1,1,1,2,4,4,4,4,4,2,2,25,6,2,5,5,2,2,1,99,29550
23,1,3, , , ,3, , , , , , , , , , ,2,81,1,2,8, ,2,3,1,9,4855
53,2,3, , , ,3, , , , , , , , , , ,2,75,6,2,8, ,2,4,1,98,98116
26,1,1,3,1, ,3,1,1,1,2,4,3,4,3,3,2,2,51,1,2,6, ,1,2,1,7,48418
53,2,1,2,2,2,3,1,1,1,2,4,4,4,4,4,3,8,73,1,2,6, ,2,4,1,8,98516
41,2,1,5,2,1,3,1,1,1,2,3,4,3,3,3,2,2,40,1,1,8, ,2,3,1,8,97223
15,1,3, , , ,3, , , , , , , , , , ,2,78,5,2,8, ,2,4,1,6,96746
42,2,3, , , ,3, , , , , , , , , , ,3,61,1,2,3, ,2,2,1,4,15714
34,2,3, , , ,3, , , , , , , , , , ,2,75,1,2,5, ,1,2,1,98,7733
34,2,1,3,2,1,3,1,1,2,1,4,4,4,4,4,2,3,37,6,1,6, ,2,3,1,7,7083
22,2,4, , , ,3, , , , , , , , , , ,2,56,3,2,3, ,1,3,1,1,71457
54,1,1,3,2,2,3,1,1,1,1,4,4,4,4,4,1,1,61,1,2,5, ,2,1,1,9,25090
